0,1,4
0,2,5
0,3,3
0,4,3
0,5,3
0,6,3
0,7,2
1,2,6
1,3,3
1,7,4
2,3,3
2,7,4
3,7,3
4,6,2
5,6,5
8,0,2
8,2,5
9,2,1
10,0,2
10,4,3
10,5,3
11,0,3
12,0,1
12,3,3
13,0,3
13,1,5
13,2,3
13,3,3
13,33,3
14,32,3
14,33,2
15,32,3
15,33,4
16,5,3
16,6,3
17,0,2
17,1,1
18,32,1
18,33,2
19,0,2
19,1,2
19,33,1
21,0,2
21,1,2
23,25,5
23,27,4
25,24,2
27,2,2
27,24,3
28,2,2
29,23,3
29,26,4
30,1,2
30,32,3
30,33,3
30,8,3
31,0,2
31,24,2
31,25,7
31,28,2
31,32,4
31,33,4
32,20,3
32,2,2
32,22,2
32,23,5
32,29,4
32,33,5
32,8,3
33,20,1
33,22,3
33,23,4
33,26,2
33,27,4
33,28,2
33,29,2
33,8,4
33,9,2
