4475350,4479097,1
4475350,4475724,2
4475350,4475984,1
4475350,4481153,1
4475350,4483669,1
4475350,4478250,1
4475350,4475791,2
4475350,4475406,2
4475350,4475627,1
4475350,4476380,5
4475350,4476045,1
4475350,4478404,1
4475350,4479196,1
4475350,4476516,1
4475413,4479097,1
4475413,4475724,3
4475413,4478738,1
4475413,4483669,1
4475413,4478250,1
4475413,4477067,1
4475413,4477330,8
4475413,4475406,1
4475413,4475627,1
4475413,4476380,2
4475413,4476045,1
4475413,4478404,1
4475413,4479988,1
4475413,4479196,1
4475413,4479365,1
4475413,4475542,1
4475413,4476516,1
4475413,4475350,17
4475724,4476848,1
4475724,4477330,1
4475724,4475791,1
4475791,4478250,1
4475791,4475413,4
4476380,4477942,1
4476380,4483669,1
4476380,4476516,1
4476761,4475724,1
4476761,4476772,1
4476761,4476848,1
4477330,4475350,5
4477551,4477330,1
4477942,4483669,1
4477942,4475413,5
4477942,4475406,1
4477942,4479988,1
4477942,4483702,1
4477942,4475350,3
4478738,4475350,1
4479097,4479196,1
4479306,4475413,1
4479306,4479387,1
4479306,4479365,1
4479365,4475724,1
4479365,4479387,2
4479387,4475724,1
4479387,4475413,1
4479387,4475791,1
4479823,4479306,1
4480523,4475413,2
4480523,4477330,2
4480523,4475350,3
4481153,4476380,1
4482961,4475724,1
4482961,4475413,1
4482961,4477330,1
