5096932,5096969,1
5096948,5096932,1
5096948,5097212,1
5096948,5097161,1
5096948,5097505,2
5096948,5098041,2
5096948,5097316,4
5096969,5097262,1
5096969,5096948,4
5096969,5097161,1
5096969,5097296,1
5096969,5097320,1
5097212,5097262,1
5097212,5099349,1
5097212,5097505,1
5097212,5096969,3
5097212,5097316,1
5097296,5097320,1
5097296,5097316,1
5097316,5098606,4
5097316,5099349,1
5097316,5097979,1
5097316,5101285,2
5097316,5099090,4
5097316,5106033,1
5097316,5098583,1
5097316,5098095,19
5097316,5101840,1
5097316,5096969,5
5097316,5103072,1
5097316,5100274,1
5097316,5099096,2
5097316,5098619,5
5097316,5097915,1
5097316,5097320,1
5097316,5098267,1
5097316,5100235,1
5097316,5100134,2
5097316,5102237,1
5097316,5098717,2
5097316,5099267,1
5097316,5098417,1
5097316,5098463,1
5097505,5096969,4
5097505,5097316,4
5097875,5098606,3
5097875,5099110,2
5097875,5097979,1
5097875,5098128,1
5097875,5099090,3
5097875,5100327,2
5097875,5102924,1
5097875,5103789,1
5097875,5106033,1
5097875,5098583,1
5097875,5100274,1
5097875,5099096,2
5097875,5098619,4
5097875,5098041,3
5097875,5097915,1
5097875,5097316,8
5097875,5100134,1
5097875,5102237,2
5097875,5099267,1
5097875,5098417,1
5097875,5100333,1
5097894,5098606,3
5097894,5097875,5
5097894,5099110,1
5097894,5097979,1
5097894,5099090,1
5097894,5100327,1
5097894,5098583,2
5097894,5098095,3
5097894,5100274,1
5097894,5097994,1
5097894,5098619,4
5097894,5098041,2
5097894,5097915,1
5097894,5097316,6
5097894,5098545,1
5097894,5100134,1
5097894,5102237,1
5097894,5100333,1
5097915,5097979,1
5097915,5097941,1
5097915,5097994,1
5097915,5098041,1
5097941,5097875,7
5097941,5097979,1
5097941,5103789,1
5097941,5097994,1
5097941,5098041,1
5097941,5097316,3
5097941,5097894,1
5097979,5097994,1
5097979,5098041,1
5097994,5097875,1
5097994,5098041,1
5097994,5097316,3
5098041,5106033,1
5098041,5097505,1
5098041,5096969,1
5098041,5098619,1
5098041,5097316,5
5098041,5099267,1
5098082,5098128,1
5098082,5098095,1
5098082,5098193,1
5098082,5098088,1
5098088,5098128,1
5098088,5098095,1
5098088,5098193,1
5098095,5097875,4
5098095,5099110,2
5098095,5105151,1
5098095,5101285,2
5098095,5099090,2
5098095,5100327,1
5098095,5098583,1
5098095,5105104,1
5098095,5101840,1
5098095,5097941,3
5098095,5100274,1
5098095,5097994,2
5098095,5099903,1
5098095,5098242,1
5098095,5105174,1
5098095,5098041,2
5098095,5098193,1
5098095,5098267,2
5098095,5100235,1
5098095,5100134,2
5098095,5102690,1
5098095,5102237,1
5098095,5098717,2
5098095,5100333,1
5098095,5098463,1
5098128,5099499,1
5098128,5098583,1
5098128,5098095,4
5098128,5098193,1
5098128,5097316,2
5098128,5102690,1
5098242,5102009,1
5098242,5101998,1
5098242,5101840,1
5098242,5098619,1
5098242,5101981,1
5098242,5098267,1
5098463,5098606,1
5098463,5097875,1
5098463,5103789,1
5098463,5101061,1
5098463,5097941,1
5098463,5097994,1
5098463,5098041,1
5098541,5098128,1
5098541,5098583,1
5098545,5101041,2
5098545,5098128,1
5098545,5098541,1
5098545,5103242,1
5098545,5102267,2
5098545,5098095,1
5098545,5098619,1
5098545,5101981,1
5098545,5097316,1
5098583,5098606,3
5098583,5103072,1
5098583,5101981,1
5098583,5098545,2
5098606,5103789,1
5098606,5098095,1
5098606,5101061,1
5098606,5097941,1
5098606,5101981,2
5098606,5102617,1
5098606,5098545,1
5098619,5098606,2
5098619,5099110,1
5098619,5099090,2
5098619,5098583,2
5098619,5098095,2
5098619,5101840,1
5098619,5100274,1
5098619,5100235,2
5098717,5097875,1
5098717,5098128,2
5098717,5101981,1
5099090,5098606,1
